省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
北京市,"
                                    (10004)北京交通大学
                                ","
                                    统考
                                ","
                                    (001)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：19(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能系统与自主控制
                                ","
","
                                    专业：48(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)智能系统与自主控制
                                ","
","
                                    专业：5(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)智能服务机器人
                                ","
","
                                    专业：48(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)智能服务机器人
                                ","
","
                                    专业：5(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)机器感知与模式识别
                                ","
","
                                    专业：48(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)机器感知与模式识别
                                ","
","
                                    专业：5(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)智能检测与人机交互
                                ","
","
                                    专业：48(不含推免)
                                "
北京市,"
                                    (10005)北京工业大学
                                ","
                                    统考
                                ","
                                    (073)信息学部人工智能与自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)智能检测与人机交互
                                ","
","
                                    专业：5(不含推免)
                                "
北京市,"
                                    (10006)北京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化科学与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论与控制工程
                                ","
                                    请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位
                                ","
                                    专业：48(不含推免)
                                "
