省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
吉林省,"
                                    (10183)吉林大学
                                ","
                                    统考
                                ","
                                    (502)通信工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：13(不含推免)
                                "
吉林省,"
                                    (10186)长春理工大学
                                ","
                                    统考
                                ","
                                    (004)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    不区分导师
                                ","
                                    专业：28(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制方法及电力应用
                                ","
","
                                    专业：80(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)先进控制方法及电力应用
                                ","
","
                                    专业：5(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)电力设备智能监测与故障诊断
                                ","
","
                                    专业：80(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)电力设备智能监测与故障诊断
                                ","
","
                                    专业：5(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)光电信息检测与智能处理技术
                                ","
","
                                    专业：80(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)光电信息检测与智能处理技术
                                ","
","
                                    专业：5(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)新能源发电检测技术与自动化装置
                                ","
","
                                    专业：80(不含推免)
                                "
吉林省,"
                                    (10188)东北电力大学
                                ","
                                    统考
                                ","
                                    (007)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)新能源发电检测技术与自动化装置
                                ","
","
                                    专业：5(不含推免)
                                "
吉林省,"
                                    (10190)长春工业大学
                                ","
                                    统考
                                ","
                                    (003)电气与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：29(不含推免)
                                "
吉林省,"
                                    (10192)吉林化工学院
                                ","
                                    统考
                                ","
                                    (004)信息与控制工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：30(不含推免)
                                "
吉林省,"
                                    (11726)长春大学
                                ","
                                    统考
                                ","
                                    (004)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论与控制工程
                                ","
","
                                    专业：30(不含推免)
                                "
吉林省,"
                                    (11726)长春大学
                                ","
                                    统考
                                ","
                                    (004)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
","
                                    专业：30(不含推免)
                                "
吉林省,"
                                    (11726)长春大学
                                ","
                                    统考
                                ","
                                    (004)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)人机协同与智能控制技术
                                ","
","
                                    专业：30(不含推免)
                                "
