省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
四川省,"
                                    (10613)西南交通大学
                                ","
                                    统考
                                ","
                                    (004)信息科学与技术学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：4(不含推免)
                                "
四川省,"
                                    (10614)电子科技大学
                                ","
                                    统考
                                ","
                                    (006)自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)不区分招生方向
                                ","
                                    详见招生简章或学校研招网或咨询报考学院
                                ","
                                    专业：35(不含推免)
                                "
四川省,"
                                    (10614)电子科技大学
                                ","
                                    统考
                                ","
                                    (028)电子科技大学（深圳）高等研究院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)不区分招生方向
                                ","
                                    详见招生简章或学校研招网或咨询报考学院
                                ","
                                    专业：15(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能检测与控制
                                ","
","
                                    专业：25(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)智能检测与控制
                                ","
","
                                    专业：15(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
","
                                    专业：25(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
","
                                    专业：15(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)系统建模与仿真技术
                                ","
","
                                    专业：25(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)系统建模与仿真技术
                                ","
","
                                    专业：15(不含推免)
                                "
四川省,"
                                    (10615)西南石油大学
                                ","
                                    统考
                                ","
                                    (007)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)信息获取、处理与控制
                                ","
","
                                    专业：25(不含推免)
                                "
