省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
广东省,"
                                    (10560)汕头大学
                                ","
                                    统考
                                ","
                                    (009)工学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    导师组
                                ","
                                    专业：4(不含推免)
                                "
广东省,"
                                    (10564)华南农业大学
                                ","
                                    统考
                                ","
                                    (010)工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)不区分研究方向
                                ","
","
                                    专业：28(不含推免)
                                "
广东省,"
                                    (10574)华南师范大学
                                ","
                                    统考
                                ","
                                    (020)生物光子学研究院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)自动控制
                                ","
","
                                    专业：15(不含推免)
                                "
广东省,"
                                    (10574)华南师范大学
                                ","
                                    统考
                                ","
                                    (040)电子与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)模式识别与智能系统
                                ","
","
                                    专业：6(不含推免)
                                "
广东省,"
                                    (10574)华南师范大学
                                ","
                                    统考
                                ","
                                    (040)电子与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)嵌入式系统应用
                                ","
","
                                    专业：6(不含推免)
                                "
广东省,"
                                    (10574)华南师范大学
                                ","
                                    统考
                                ","
                                    (040)电子与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)物联网控制技术
                                ","
","
                                    专业：6(不含推免)
                                "
广东省,"
                                    (10588)广东技术师范大学
                                ","
                                    统考
                                ","
                                    (015)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    唐宇等
                                ","
                                    专业：15(不含推免)
                                "
广东省,"
                                    (10590)深圳大学
                                ","
                                    统考
                                ","
                                    (109)机电与控制工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分方向
                                ","
                                    请登录https://yz.szu.edu.cn查看
                                ","
                                    专业：63(不含推免)
                                "
广东省,"
                                    (11078)广州大学
                                ","
                                    统考
                                ","
                                    (007)机械与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    见学院网页
                                ","
                                    专业：23(不含推免)
                                "
广东省,"
                                    (11347)仲恺农业工程学院
                                ","
                                    统考
                                ","
                                    (013)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    请登陆我校研究生部主页查询
                                ","
                                    专业：3(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)故障诊断与智能信息处理
                                ","
","
                                    院系所：11(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)故障诊断与智能信息处理
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)电力拖动自动控制系统
                                ","
","
                                    院系所：11(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)电力拖动自动控制系统
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)工业过程控制与工程软件
                                ","
","
                                    院系所：11(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)工业过程控制与工程软件
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (004)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)装备智能化与安全控制
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (004)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)过程装备自动化与智能运维
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (004)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)智慧能源
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (019)能源与动力工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)装备智能化与安全控制
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (019)能源与动力工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)过程装备自动化与智能运维
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11656)广东石油化工学院
                                ","
                                    统考
                                ","
                                    (019)能源与动力工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)智慧能源
                                ","
","
                                    院系所：2(不含推免)
                                "
广东省,"
                                    (11845)广东工业大学
                                ","
                                    统考
                                ","
                                    (004)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)网络化控制与智能系统（含网络化控制系统集成技术、分布式网络与智能系统、先进检测技术）
                                ","
","
                                    研究方向：116(不含推免)
                                "
广东省,"
                                    (11845)广东工业大学
                                ","
                                    统考
                                ","
                                    (004)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)模式识别与智能传感（含生物医学信息处理技术及仪器）
                                ","
","
                                    研究方向：60(不含推免)
                                "
广东省,"
                                    (11847)佛山科学技术学院
                                ","
                                    统考
                                ","
                                    (151)机电工程与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制技术与应用
                                ","
","
                                    专业：34(不含推免)
                                "
广东省,"
                                    (11847)佛山科学技术学院
                                ","
                                    统考
                                ","
                                    (151)机电工程与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)电力系统及其控制
                                ","
","
                                    专业：34(不含推免)
                                "
广东省,"
                                    (11847)佛山科学技术学院
                                ","
                                    统考
                                ","
                                    (151)机电工程与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)智能感知设备与信息处理
                                ","
","
                                    专业：34(不含推免)
                                "
