省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
江苏省,"
                                    (10284)南京大学
                                ","
                                    统考
                                ","
                                    (015)工程管理学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制工程
                                ","
","
                                    专业：16(不含推免)
                                "
江苏省,"
                                    (10285)苏州大学
                                ","
                                    统考
                                ","
                                    (019)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能机器人控制
                                ","
","
                                    专业：16(不含推免)
                                "
江苏省,"
                                    (10285)苏州大学
                                ","
                                    统考
                                ","
                                    (019)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)电气系统智能控制
                                ","
","
                                    专业：16(不含推免)
                                "
江苏省,"
                                    (10285)苏州大学
                                ","
                                    统考
                                ","
                                    (019)机电工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)智能制造先进控制
                                ","
","
                                    专业：16(不含推免)
                                "
江苏省,"
                                    (10285)苏州大学
                                ","
                                    统考
                                ","
                                    (026)光电科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制工程
                                ","
","
                                    专业：17(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论与控制工程
                                ","
                                    不区分导师
                                ","
                                    专业：36(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
                                    不区分导师
                                ","
                                    专业：36(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)系统工程
                                ","
                                    不区分导师
                                ","
                                    专业：36(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)模式识别与智能系统
                                ","
                                    不区分导师
                                ","
                                    专业：36(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)导航、制导与控制
                                ","
                                    不区分导师
                                ","
                                    专业：36(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    统考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (FF)研究方向不区分
                                ","
                                    不区分导师
                                ","
                                    专业：1(不含推免)
                                "
江苏省,"
                                    (10287)南京航空航天大学
                                ","
                                    单考
                                ","
                                    (003)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (FF)研究方向不区分
                                ","
                                    不区分导师
                                ","
                                    专业：1(不含推免)
                                "
江苏省,"
                                    (10288)南京理工大学
                                ","
                                    统考
                                ","
                                    (110)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)不区分研究方向
                                ","
","
                                    专业：104(不含推免)
                                "
江苏省,"
                                    (10288)南京理工大学
                                ","
                                    统考
                                ","
                                    (110)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (F1)不区分研究方向(非全)
                                ","
","
                                    专业：7(不含推免)
                                "
江苏省,"
                                    (10288)南京理工大学
                                ","
                                    单考
                                ","
                                    (110)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (F1)不区分研究方向(非全)
                                ","
","
                                    专业：13(不含推免)
                                "
江苏省,"
                                    (10289)江苏科技大学
                                ","
                                    统考
                                ","
                                    (004)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    不区分导师
                                ","
                                    专业：40(不含推免)
                                "
江苏省,"
                                    (10289)江苏科技大学
                                ","
                                    统考
                                ","
                                    (004)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    不区分导师
                                ","
                                    专业：8(不含推免)
                                "
江苏省,"
                                    (10290)中国矿业大学
                                ","
                                    统考
                                ","
                                    (006)信息与控制工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    System.Byte[]
                                ","
                                    专业：35(不含推免)
                                "
江苏省,"
                                    (10290)中国矿业大学
                                ","
                                    单考
                                ","
                                    (006)信息与控制工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    System.Byte[]
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10292)常州大学
                                ","
                                    统考
                                ","
                                    (007)微电子与控制工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：7(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制技术与应用
                                ","
                                    不区分导师
                                ","
                                    专业：41(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)先进控制技术与应用
                                ","
                                    不区分导师
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)智能检测技术与装置
                                ","
                                    不区分导师
                                ","
                                    专业：41(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)智能检测技术与装置
                                ","
                                    不区分导师
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)图像分析与模式识别
                                ","
                                    不区分导师
                                ","
                                    专业：41(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)图像分析与模式识别
                                ","
                                    不区分导师
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)工业机器人
                                ","
                                    不区分导师
                                ","
                                    专业：41(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)工业机器人
                                ","
                                    不区分导师
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)控制工程与应用
                                ","
                                    不区分导师
                                ","
                                    专业：41(不含推免)
                                "
江苏省,"
                                    (10295)江南大学
                                ","
                                    统考
                                ","
                                    (019)物联网工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)控制工程与应用
                                ","
                                    不区分导师
                                ","
                                    专业：5(不含推免)
                                "
江苏省,"
                                    (10298)南京林业大学
                                ","
                                    统考
                                ","
                                    (003)机械电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    不区分导师
                                ","
                                    专业：18(不含推免)
                                "
