省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
江西省,"
                                    (10403)南昌大学
                                ","
                                    统考
                                ","
                                    (010)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)计算机控制与嵌入式智能仪表技术
                                ","
                                    不区分导师
                                ","
                                    专业：63(不含推免)
                                "
江西省,"
                                    (10403)南昌大学
                                ","
                                    统考
                                ","
                                    (010)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)网络控制及其应用
                                ","
                                    不区分导师
                                ","
                                    专业：63(不含推免)
                                "
江西省,"
                                    (10403)南昌大学
                                ","
                                    统考
                                ","
                                    (010)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)绿色能源转换与控制
                                ","
                                    不区分导师
                                ","
                                    专业：63(不含推免)
                                "
江西省,"
                                    (10403)南昌大学
                                ","
                                    统考
                                ","
                                    (010)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)智能机器人
                                ","
                                    不区分导师
                                ","
                                    专业：63(不含推免)
                                "
江西省,"
                                    (10403)南昌大学
                                ","
                                    统考
                                ","
                                    (010)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)系统可靠性分析与事故预报、诊断技术
                                ","
                                    不区分导师
                                ","
                                    专业：63(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)复杂工业过程建模、控制与优化
                                ","
","
                                    专业：44(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)复杂工业过程建模、控制与优化
                                ","
","
                                    专业：1(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)网络化系统协调控制与自主规划
                                ","
","
                                    专业：44(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)网络化系统协调控制与自主规划
                                ","
","
                                    专业：1(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)轨道交通运行监测、控制与优化
                                ","
","
                                    专业：44(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)轨道交通运行监测、控制与优化
                                ","
","
                                    专业：1(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)智能检测与自动化系统
                                ","
","
                                    专业：44(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)智能检测与自动化系统
                                ","
","
                                    专业：1(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)模式识别与人工智能
                                ","
","
                                    专业：44(不含推免)
                                "
江西省,"
                                    (10404)华东交通大学
                                ","
                                    统考
                                ","
                                    (003)电气与自动化工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)模式识别与人工智能
                                ","
","
                                    专业：1(不含推免)
                                "
江西省,"
                                    (10405)东华理工大学
                                ","
                                    统考
                                ","
                                    (006)机械与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    招生导师简介见各招生学院网站
                                ","
                                    专业：19(不含推免)
                                "
江西省,"
                                    (10406)南昌航空大学
                                ","
                                    统考
                                ","
                                    (004)信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：19(不含推免)
                                "
