省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
河北省,"
                                    (10075)河北大学
                                ","
                                    统考
                                ","
                                    (018)电子信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：49(不含推免)
                                "
河北省,"
                                    (10076)河北工程大学
                                ","
                                    统考
                                ","
                                    (005)信息与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：7(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论及其在工程中的应用
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)控制理论及其在工程中的应用
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)发电企业信息化与智能化技术
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)发电企业信息化与智能化技术
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)发电系统建模、仿真与优化控制
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)发电系统建模、仿真与优化控制
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)现代测控技术与系统
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)现代测控技术与系统
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)工程管理、决策支持理论与方法
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)工程管理、决策支持理论与方法
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)模式识别与智能系统
                                ","
","
                                    专业：93(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    统考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (06)模式识别与智能系统
                                ","
","
                                    专业：10(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (01)控制理论及其在工程中的应用
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (02)发电企业信息化与智能化技术
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (03)发电系统建模、仿真与优化控制
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (04)现代测控技术与系统
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)工程管理、决策支持理论与方法
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10079)华北电力大学(保定)
                                ","
                                    单考
                                ","
                                    (009)自动化系
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (06)模式识别与智能系统
                                ","
","
                                    专业：1(不含推免)
                                "
河北省,"
                                    (10080)河北工业大学
                                ","
                                    统考
                                ","
                                    (028)人工智能与数据科学学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)复杂系统建模与控制
                                ","
                                    不区分导师
                                ","
                                    专业：31(不含推免)
                                "
