省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
河南省,"
                                    (10078)华北水利水电大学
                                ","
                                    统考
                                ","
                                    (005)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：12(不含推免)
                                "
河南省,"
                                    (10459)郑州大学
                                ","
                                    统考
                                ","
                                    (085)电气与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制工程
                                ","
                                    0
                                ","
                                    专业：73(不含推免)
                                "
河南省,"
                                    (10459)郑州大学
                                ","
                                    统考
                                ","
                                    (085)电气与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)生物医学工程
                                ","
                                    0
                                ","
                                    专业：73(不含推免)
                                "
河南省,"
                                    (10459)郑州大学
                                ","
                                    统考
                                ","
                                    (085)电气与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)控制工程（现代制造河南实验室-洛阳）
                                ","
                                    0
                                ","
                                    专业：73(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (001)电气信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能信息处理与应用
                                ","
","
                                    专业：38(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (001)电气信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)智能仪器仪表
                                ","
","
                                    专业：38(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (001)电气信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)先进传感与测控技术
                                ","
","
                                    专业：38(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (001)电气信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)无线定位与导航技术
                                ","
","
                                    专业：38(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (001)电气信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)工业网络及MES系统
                                ","
","
                                    专业：38(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (010)数学与信息科学学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)动力系统
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (010)数学与信息科学学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)神经网络
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (010)数学与信息科学学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)机器学习
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (013)建筑环境工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)建筑设备智能控制技术
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (013)建筑环境工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)智慧建筑消防技术
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10462)郑州轻工业大学
                                ","
                                    统考
                                ","
                                    (013)建筑环境工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)建筑智慧感知与行为分析技术
                                ","
","
                                    专业：3(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)工业过程控制
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)机器人控制技术
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)复杂系统建模与控制
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)检测技术与自动化装置
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)智能传感技术与系统
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)人工智能与模式识别
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
河南省,"
                                    (10463)河南工业大学
                                ","
                                    统考
                                ","
                                    (006)电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (07)导航、制导与控制
                                ","
                                    不区分导师
                                ","
                                    专业：27(不含推免)
                                "
