省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
浙江省,"
                                    (10335)浙江大学
                                ","
                                    单考
                                ","
                                    (600)工程师学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (29)控制工程（非全专硕单考）
                                ","
","
                                    专业：15(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (040)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)过程诊断监测与控制
                                ","
","
                                    专业：198(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (040)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)节能控制与优化
                                ","
","
                                    专业：198(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (040)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)网络技术与应用
                                ","
","
                                    专业：198(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (040)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)智能信息融合与处理
                                ","
","
                                    专业：198(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (040)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)综合自动化控制
                                ","
","
                                    专业：198(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (162)杭电圣光机智能系统和机器人研究中心
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)(中俄合作)过程诊断监测与控制
                                ","
","
                                    专业：36(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (162)杭电圣光机智能系统和机器人研究中心
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)(中俄合作)节能控制与优化
                                ","
","
                                    专业：36(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (162)杭电圣光机智能系统和机器人研究中心
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)(中俄合作)网络技术与应用
                                ","
","
                                    专业：36(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (162)杭电圣光机智能系统和机器人研究中心
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)(中俄合作)智能信息融合与处理
                                ","
","
                                    专业：36(不含推免)
                                "
浙江省,"
                                    (10336)杭州电子科技大学
                                ","
                                    统考
                                ","
                                    (162)杭电圣光机智能系统和机器人研究中心
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)(中俄合作)综合自动化控制
                                ","
","
                                    专业：36(不含推免)
                                "
