省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
湖北省,"
                                    (10486)武汉大学
                                ","
                                    统考
                                ","
                                    (207)电气与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    专业：7(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能控制与机器人技术
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)复杂系统理论与网络化系统
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)运动控制与过程控制
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)信息安全与系统安全
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)检测技术与自动化装置
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)系统工程与决策
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (07)生物信息、控制与计算
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (08)公共安全与应急决策系统
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (09)物流系统集成与优化
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (10)图像识别与智能系统
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (11)飞行器导航制导与控制
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10487)华中科技大学
                                ","
                                    统考
                                ","
                                    (184)人工智能与自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (12)多谱成像与处理
                                ","
","
                                    专业：80(不含推免)
                                "
湖北省,"
                                    (10490)武汉工程大学
                                ","
                                    统考
                                ","
                                    (104)电气信息学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分方向
                                ","
","
                                    专业：15(不含推免)
                                "
湖北省,"
                                    (10496)武汉轻工大学
                                ","
                                    统考
                                ","
                                    (006)电气与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
","
                                    研究方向：5(不含推免)
                                "
湖北省,"
                                    (10500)湖北工业大学
                                ","
                                    统考
                                ","
                                    (002)电气与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论与控制工程
                                ","
","
                                    专业：15(不含推免)
                                "
湖北省,"
                                    (10500)湖北工业大学
                                ","
                                    统考
                                ","
                                    (002)电气与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
                                    付波、曾亮、常雨芳、王淑青、万相奎、陈云帆、丰励、孔祥斌、李婕、廖想、刘聪、涂静敏、全睿、尚萍萍、舒军、宋阿妮、唐靓、王娟、王珊珊、王云艳、谢红刚、熊炜、徐光辉、许正望、张凡、张凡（s）、赵云
                                ","
                                    专业：15(不含推免)
                                "
湖北省,"
                                    (10500)湖北工业大学
                                ","
                                    统考
                                ","
                                    (002)电气与电子工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)系统工程
                                ","
                                    付波、曾亮、常雨芳、王淑青、万相奎、陈云帆、丰励、孔祥斌、李婕、廖想、刘聪、涂静敏、全睿、尚萍萍、舒军、宋阿妮、唐靓、王娟、王珊珊、王云艳、谢红刚、熊炜、徐光辉、许正望、张凡、张凡（s）、赵云
                                ","
                                    专业：15(不含推免)
                                "
