省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)工业过程自动化
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)动态系统的故障诊断与容错控制
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)检测技术与智能化仪表
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)管理信息系统与决策支持系统
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)分布式控制系统的开发与应用技术
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10731)兰州理工大学
                                ","
                                    统考
                                ","
                                    (003)电气工程与信息工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (06)嵌入式系统开发与设计
                                ","
                                    请登录相应学院主页查看选择导师
                                ","
                                    专业：95(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (005)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)自动化装置与系统
                                ","
","
                                    专业：20(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (005)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与系统设计
                                ","
","
                                    专业：20(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (005)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)智能机器人技术与应用
                                ","
","
                                    专业：20(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (005)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)计算机测控与管控一体化
                                ","
","
                                    专业：20(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (005)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)计算机分布式控制技术
                                ","
","
                                    专业：20(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (032)光电技术与智能控制教育部重点实验室
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制技术与系统
                                ","
","
                                    专业：5(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (032)光电技术与智能控制教育部重点实验室
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
","
                                    专业：5(不含推免)
                                "
甘肃省,"
                                    (10732)兰州交通大学
                                ","
                                    统考
                                ","
                                    (032)光电技术与智能控制教育部重点实验室
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)嵌入式系统及应用
                                ","
","
                                    专业：5(不含推免)
                                "
