省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    统考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制理论与控制工程
                                ","
","
                                    专业：64(不含推免)
                                "
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    统考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)检测技术与自动化装置
                                ","
","
                                    专业：64(不含推免)
                                "
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    统考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)系统工程
                                ","
","
                                    专业：64(不含推免)
                                "
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    统考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)模式识别与智能系统
                                ","
","
                                    专业：64(不含推免)
                                "
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    统考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)控制工程
                                ","
","
                                    专业：3(不含推免)
                                "
辽宁省,"
                                    (10141)大连理工大学
                                ","
                                    单考
                                ","
                                    (090)（主校区）电子信息与电气工程学部
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)控制工程
                                ","
","
                                    专业：3(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (007)人工智能学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制技术与系统
                                ","
","
                                    专业：46(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (007)人工智能学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)工业系统工程
                                ","
","
                                    专业：46(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (007)人工智能学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)智能感测与工业物联网
                                ","
","
                                    专业：46(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (007)人工智能学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)智能控制系统
                                ","
","
                                    专业：46(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (018)化工过程自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)先进控制技术与系统
                                ","
","
                                    专业：27(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (018)化工过程自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)智能感测与工业物联网
                                ","
","
                                    专业：27(不含推免)
                                "
辽宁省,"
                                    (10142)沈阳工业大学
                                ","
                                    统考
                                ","
                                    (018)化工过程自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)智能控制系统
                                ","
","
                                    专业：27(不含推免)
                                "
辽宁省,"
                                    (10144)沈阳理工大学
                                ","
                                    统考
                                ","
                                    (012)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)智能机器人技术及应用
                                ","
","
                                    专业：101(不含推免)
                                "
辽宁省,"
                                    (10144)沈阳理工大学
                                ","
                                    统考
                                ","
                                    (012)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)先进仪器与网络化测控技术
                                ","
","
                                    专业：101(不含推免)
                                "
辽宁省,"
                                    (10144)沈阳理工大学
                                ","
                                    统考
                                ","
                                    (012)自动化与电气工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)复杂系统综合自动化技术
                                ","
","
                                    专业：101(不含推免)
                                "
辽宁省,"
                                    (10145)东北大学
                                ","
                                    统考
                                ","
                                    (005)信息科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)控制工程
                                ","
                                    不区分导师
                                ","
                                    专业：174(不含推免)
                                "
