省份,学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数
陕西省,"
                                    (10698)西安交通大学
                                ","
                                    统考
                                ","
                                    (054)电子与信息学部-自动化科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)COT项目-控制工程
                                ","
                                    不区分导师
                                ","
                                    专业：48(不含推免)
                                "
陕西省,"
                                    (10698)西安交通大学
                                ","
                                    统考
                                ","
                                    (054)电子与信息学部-自动化科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)百千万工程-信息物理能源融合系统
                                ","
                                    不区分导师
                                ","
                                    专业：48(不含推免)
                                "
陕西省,"
                                    (10698)西安交通大学
                                ","
                                    统考
                                ","
                                    (054)电子与信息学部-自动化科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)百千万工程-数字经济产业卓越人才培养计划
                                ","
                                    不区分导师
                                ","
                                    专业：48(不含推免)
                                "
陕西省,"
                                    (10698)西安交通大学
                                ","
                                    统考
                                ","
                                    (054)电子与信息学部-自动化科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)卓越工程师培养项目-新一代信息通信技术专项
                                ","
                                    不区分导师
                                ","
                                    专业：48(不含推免)
                                "
陕西省,"
                                    (10698)西安交通大学
                                ","
                                    单考
                                ","
                                    (054)电子与信息学部-自动化科学与工程学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (05)航天智能测控与信息处理（单考）
                                ","
                                    不区分导师
                                ","
                                    专业：10(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (001)航空学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：12(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (002)航天学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：31(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (002)航天学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：4(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (003)航海学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：12(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (007)动力与能源学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：1(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (009)自动化学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：28(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    非全日制
                                ","
                                    (00)不区分研究方向
                                ","
                                    无
                                ","
                                    专业：3(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (01)多飞行器协同对抗研究
                                ","
                                    无
                                ","
                                    专业：8(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (02)电机及其控制技术
                                ","
                                    无
                                ","
                                    专业：8(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (03)飞行器智能运维
                                ","
                                    无
                                ","
                                    专业：8(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (04)无人系统智能飞行控制
                                ","
                                    无
                                ","
                                    专业：8(不含推免)
                                "
陕西省,"
                                    (10699)西北工业大学
                                ","
                                    统考
                                ","
                                    (020)民航学院
                                ","
                                    (085406)(专业学位)控制工程
                                ","
                                    全日制
                                ","
                                    (05)飞行器预测与健康管理技术
                                ","
                                    无
                                ","
                                    专业：8(不含推免)
                                "
